eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 18/04/2016 10:04:36
#Cmp ( order = Reference )
| C1         2u2                             ;             ;             ; 35V         ;             ;             ;             ;             ;             ;             ;             
| C2         0u01                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C3         100u                            ; C_ELEC_6.3x7.7;             ; 35V         ;             ;             ;             ;             ;             ;             ;             
| C4         10u                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C5         0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C13        1u                              ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C18        10u                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C19        10u                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C22        100u                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C23        100u                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C32        100u                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C33        100u                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C40        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C41        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C42        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C43        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C44        10p                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C45        10p                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C46        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C47        10u         MLCC or Tantalum    ;             ; MLCC or Tantalum;             ;             ;             ;             ;             ;             ;             ;             
| C48        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C49        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C50        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C51        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C52        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C53        10u                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C59        4u7                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C60        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C61        4u7                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C62        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C64        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C65        10p                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C66        4u7         MLCC or Tantalum    ;             ; MLCC or Tantalum;             ;             ;             ;             ;             ;             ;             ;             
| C67        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C68        4u7         MLCC or Tantalum    ;             ; MLCC or Tantalum;             ;             ;             ;             ;             ;             ;             ;             
| C69        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C70        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C71        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C72        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C90        10nF                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C91        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C92        100u                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C93        0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C94        100u                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C95        1u                              ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C96        22nF                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C97        10u                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C98        10u                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C99        100u                            ; C_ELEC_6.3x7.7;             ; 10V         ;             ;             ;             ;             ;             ;             ;             
| C102       100u                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C111       0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C112       0u1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| C113       100u                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D1         SS3P4                           ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D2         SS3P4                           ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D3         USB                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D6         Bed Heat                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D7         E0 Heat                         ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D8         FAN0                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D9         Y Stop                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D10        Z Stop                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D11        E0 Stop                         ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D12        X Stop                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D13        SS14M                           ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D14        SS14M                           ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D15        VIN                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D16        3.3V                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D17        5V+                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D19        E1 Stop                         ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D20        E1 Heat                         ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| D21        FAN1                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J1         CONN2X19                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J4         BED HEAT                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J5         BED TEMP                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J6         E1 MOT/STOP                     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J7         Z MOT/STOP                      ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J8         Y MOT/STOP                      ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J9         X MOT/STOP                      ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J10        E0 MOT/STOP                     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J11        E0 HEAT                         ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J12        E0 TEMP                         ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J13        E1 HEAT                         ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J14        E1 TEMP                         ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J22        USB                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J23        POWER IN                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J25        FAN 0                           ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J26        GND                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J27        GND                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J29        FAN 1                           ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| J30        PanelDUE                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| JP9        5V_EN                           ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| JP10       ATX_5V_EN                       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| L1         10uH                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| L3         100Mhz                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| L4         100Mhz                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| L5         100Mhz                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| L6         100Mhz                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| L7         100Mhz                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| P1         USB-A-PCB                       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R1         3K3                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R2         39R 1%                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R3         39R 1%                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R18        470R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R19        4K7                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R20        220R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R21        4K7                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R22        470R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R23        220R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R24        10K                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R25        100k                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R26        10k                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R28        10k                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R38        10k                             ; 0603        ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R40        10k                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R48        6k8                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R53        4K7                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R54        2k7                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R55        4k7                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R56        100R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R57        100R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R58        100R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R59        100R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R60        470R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R61        2K15                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R65        4k7                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R67        4k7                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R68        4k7                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R69        680R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R70        680R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R71        680R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R72        680R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R77        100k                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R78        100k                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R79        470R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R80        10K                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R81        10K                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R82        10K                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R84        100K                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R85        0R1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R86        0R1                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R87        3K92                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R88        750R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R89        10k                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R95        100R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R96        680R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R97        220R                            ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R98        4k7                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R99        10K                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| R100       4k7                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| S1         RESET                           ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| S2         ERASE                           ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| TR1        BSH105                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| TR2        IPD036N04L                      ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| TR3        BSH105                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| TR4        IPD036N04L                      ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| TR5        PMV40UN2                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| TR6        BSH105                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| TR7        BSH105                          ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| TR8        IPD036N04L                      ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| TR9        PMV40UN2                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| U1         ATSAM3X8E                       ; LQFP100     ;             ;             ;             ;             ;             ;             ;             ;             ;             
| U2         TC2117-3.3VDBTR                    ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| U3         A4403                           ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| U5         DRV8825_                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| U6         DRV8825_                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| U7         DRV8825_                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| U8         DRV8825_                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| U11        DRV8825_                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| X2         CRYSTAL_4PIN                    ;             ;             ; 12MHz       ;             ;             ;             ;             ;             ;             ;             
#End Cmp

#Componentes ( orden = Valor )
| 10p          C44       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10p          C45       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10p          C65       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u01         C2        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10nF         C90       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 22nF         C96       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C5        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C40       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C41       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C42       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C43       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C46       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C48       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C49       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C50       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C51       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C52       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C60       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C62       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C64       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C67       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C69       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C70       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C71       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C72       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C91       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C93       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C111      ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0u1          C112      ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 1u           C13       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 1u           C95       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 2u2          C1        ;             ;             ; 35V         ;             ;             ;             ;             ;             ;             ;             
| 4u7          C59       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4u7          C61       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4u7          C66       ;             ; MLCC or Tantalum;             ;             ;             ;             ;             ;             ;             ;             
| 4u7          C68       ;             ; MLCC or Tantalum;             ;             ;             ;             ;             ;             ;             ;             
| 10u          C4        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10u          C18       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10u          C19       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10u          C47       ;             ; MLCC or Tantalum;             ;             ;             ;             ;             ;             ;             ;             
| 10u          C53       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10u          C97       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10u          C98       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100u         C22       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100u         C23       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100u         C32       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100u         C33       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100u         C92       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100u         C94       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100u         C102      ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100u         C113      ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100u         C3        ; C_ELEC_6.3x7.7;             ; 35V         ;             ;             ;             ;             ;             ;             ;             
| 100u         C99       ; C_ELEC_6.3x7.7;             ; 10V         ;             ;             ;             ;             ;             ;             ;             
| 3.3V         D16       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| SS3P4        D1        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| SS3P4        D2        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| USB          D3        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| Bed Heat     D6        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| E0 Heat      D7        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| FAN0         D8        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| Y Stop       D9        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| Z Stop       D10       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| E0 Stop      D11       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| X Stop       D12       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| SS14M        D13       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| SS14M        D14       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| VIN          D15       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 5V+          D17       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| E1 Stop      D19       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| E1 Heat      D20       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| FAN1         D21       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN2X19     J1        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| BED HEAT     J4        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| BED TEMP     J5        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| E1 MOT/STOP  J6        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| Z MOT/STOP   J7        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| Y MOT/STOP   J8        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| X MOT/STOP   J9        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| E0 MOT/STOP  J10       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| E0 HEAT      J11       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| E0 TEMP      J12       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| E1 HEAT      J13       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| E1 TEMP      J14       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| USB          J22       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| POWER IN     J23       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| FAN 0        J25       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| GND          J26       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| GND          J27       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| FAN 1        J29       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| PanelDUE     J30       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 5V_EN        JP9       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| ATX_5V_EN    JP10      ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10uH         L1        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100Mhz       L3        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100Mhz       L4        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100Mhz       L5        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100Mhz       L6        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100Mhz       L7        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| USB-A-PCB    P1        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0R1          R85       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 0R1          R86       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 39R 1%       R2        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 39R 1%       R3        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100R         R56       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100R         R57       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100R         R58       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100R         R59       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 100R         R95       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 220R         R20       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 220R         R23       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 220R         R97       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R18       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R22       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R60       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 470R         R79       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 680R         R69       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 680R         R70       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 680R         R71       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 680R         R72       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 680R         R96       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 750R         R88       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 2K15         R61       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 2k7          R54       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 3K3          R1        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 3K92         R87       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4K7          R19       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4K7          R21       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4K7          R53       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4k7          R55       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4k7          R65       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4k7          R67       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4k7          R68       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4k7          R98       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 4k7          R100      ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 6k8          R48       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10K          R24       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10k          R26       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10k          R28       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10k          R40       ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
