Id;Designator;Package;Quantity;Designation;Supplier and ref;Description
1;TR4,TR2,TR8;D-PAK;3;IPD036N04L;IPD036N04LG;Infineon IPD036N04LG N-channel MOSFET Transistor, 90 A, 40 V, 3-Pin TO-252
2;J11;PHOENIX_CONNECTOR_2;1;E0 HEAT;1751248;Phoenix Contact COMBICON MKDS Series 3,5mm Pitch Straight PCB Terminal Block with Screw Termination
3;J25;PIN_ARRAY_2X1;1;FAN 0;W81102T3825RC;RS Pro, 2.54mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination
4;TR5,TR9;SOT-23;2;PMV40UN2;PMV40UN,215;NXP PMV40UN,215 N-channel MOSFET Transistor, 4.9 A, 30 V, 3-Pin TO-236AB
5;D20;D_0603;1;E1 Heat;LP L296-J2L2-25;Osram Opto LP L296-J2L2-25 Green LED, 560 nm 0603, Rectangle Lens SMD Package
6;J22;uUSB_new;1;Micro USB;DX4R005H91;SMT Type B Version 2.0 Micro USB Connector Socket, 100 V ac, 1.8A 
7;L1;L_6x6;1;10uH;SD54-103MLB;SMD inductor 10uH 6x5mm
8;U8,U11,U6,U5,U7;DRV8825;5;DRV8825_;SSW-108-01-G-S;2.54mm 8 Way 1 Row Straight PCB Socket Through Hole Board to Board
9;U1;LQFP144;1;ATSAM3X8E;Atmel: ATSAM3X8EA-AU;Atmel ATSAM3X8EA-AU, 32bit ARM Cortex M3 Microcontroller, 84MHz, 16 kB, 2 x 256 kB Flash, ROM, 144-Pin LQFP
10;TR3,TR1,TR6;SOT-23;3;BSH105;BSH105,215;NXP BSH105,215 N-channel MOSFET Transistor, 1.05 A, 20 V, 3-Pin TO-236AB
11;C61,C68,C66,C59;C_0805;4;4u7;C0805C475K9PACTU;Kemet 0805 4.7?F Ceramic Multilayer Capacitor, 6.3V dc, 85°C, X5R Dielectric, ±10% SMD
12;J23;TERM_2-WAY_6.35mm;1;POWER IN;1714955;MKDS 5/2-6,35 2way 6.35mm terminal block
13;U2;SOT-223;1;TC2117-3.3VDBTR;TC2117-3.3VDBTR;Microchip TC2117-3.3VDBTR, LDO Voltage Regulator, 800mA, 3.3 V ±0.5%, 2.7 ? 6 Vin, 3-Pin SOT-223
14;C23,C33,C32,C22,C3,C92,C94,C99,C102,C113;C_ELEC_6.3x7.7;10;100u;EEEFTH101XAP;100?F 50 V dc Aluminium Electrolytic Capacitor D8, FT SMD Series 2000h 6.3 Dia. x 7.7mm
15;R18,R22,R60,R79;R_0603;4;470R;CR0603-JW-471ELF;Bourns CR0603 Series Thick Film Surface Mount Resistor 0603 Case 470? ±5% 0.1W ±200ppm/°C
16;R20,R23,R97;R_0603;3;220R;CRG0603F220R;Thick Film Surface Mount Fixed Resistor 0603 Case 220? ±1% 0.1W ±100ppm/°C
17;R57,R56,R58,R59;R_0603;4;100R;CR0603-FX-1000ELF;Thick Film Surface Mount Fixed Resistor 0603 Case 100? ±1% 0.1W ±100ppm/°C
18;R1;R_0603;1;3K3;CR0603-FX-3301ELF;Thick Film Surface Mount Fixed Resistor 0603 Case 3.3k? ±1% 0.1W ±100ppm/°C
19;R2,R3;R_0603;2;39R 1%;ERJ3RED39R0V;Thick Film Surface Mount Resistor 0603 Case 39? ±0.5% 0.1W ±100ppm/°C
20;R24,R81,R80,R99,R82,R103;R_0603;6;10K;CR0603-FX-1002ELF;CR0603-FX Series Thick Film Surface Mount Fixed Resistor 0603 Case 10k? ±1% 0.1W ±100ppm/°C
21;R25,R77,R78;R_0603;3;100k;CR0603-FX-1003HLF;CR0603-FX Series Thick Film Surface Mount Fixed Resistor 0603 Case 100k? ±1% 0.1W ±100ppm/°C
22;C40,C41,C42,C43,C70,C46,C48,C49,C72,C71,C69,C50,C67,C51,C64,C62,C52,C60,C91,C93,C112,C5;C_0603;22;0u1;C0603C105K8PACTU;Kemet 0603 C 1uF Ceramic Multilayer Capacitor, 10 V dc, +85°C, X5R Dielectric, ±10%
